example4.jpg - Time needed: 0.009639263153076172 - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.009163856506347656 - Config 20: Binarization.basic, SkewCorrection.moments, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.30585670471191406 - Config 21: Binarization.basic, SkewCorrection.moments, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 386.37043046951294 - Config 22: Binarization.basic, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.09025382995605469 - Config 23: Binarization.basic, SkewCorrection.moments, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.007423877716064453 - Config 24: Binarization.basic, SkewCorrection.topline, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0028793811798095703 - Config 25: Binarization.basic, SkewCorrection.topline, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.006655693054199219 - Config 26: Binarization.basic, SkewCorrection.topline, NoiseRemoval.median_filter
example4.jpg - Time needed: 96.41812658309937 - Config 27: Binarization.basic, SkewCorrection.topline, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.014728307723999023 - Config 28: Binarization.basic, SkewCorrection.topline, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.7793865203857422 - Config 29: Binarization.basic, SkewCorrection.topline, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 570.986049413681 - Config 30: Binarization.basic, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.13571834564208984 - Config 31: Binarization.basic, SkewCorrection.topline, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.013437509536743164 - Config 32: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.001524209976196289 - Config 33: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.005360603332519531 - Config 34: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.median_filter
example4.jpg - Time needed: 58.910606145858765 - Config 35: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.009701013565063477 - Config 36: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.3027200698852539 - Config 37: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 350.966105222702 - Config 38: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.08467411994934082 - Config 39: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.009462833404541016 - Config 40: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0019199848175048828 - Config 41: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.003874540328979492 - Config 42: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.median_filter
example4.jpg - Time needed: 59.60267925262451 - Config 43: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.010521888732910156 - Config 44: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.3039417266845703 - Config 45: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 348.19257044792175 - Config 46: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.08184957504272461 - Config 47: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.009199857711791992 - Config 48: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0023119449615478516 - Config 49: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.003945350646972656 - Config 50: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.median_filter
example4.jpg - Time needed: 121.1898684501648 - Config 51: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.020480632781982422 - Config 52: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.9556119441986084 - Config 53: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 715.9233388900757 - Config 54: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.1689453125 - Config 55: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.005288124084472656 - Config 56: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0008831024169921875 - Config 57: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.0026924610137939453 - Config 58: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.median_filter
example4.jpg - Time needed: 65.43366432189941 - Config 59: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.010457515716552734 - Config 60: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.47472620010375977 - Config 61: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 389.9524827003479 - Config 62: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.09159970283508301 - Config 63: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.0074312686920166016 - Config 64: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.002207517623901367 - Config 65: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.002925395965576172 - Config 66: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.median_filter
example4.jpg - Time needed: 96.92717409133911 - Config 67: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.014626026153564453 - Config 68: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.7368345260620117 - Config 69: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 563.8919942378998 - Config 70: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.13679242134094238 - Config 71: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.010075092315673828 - Config 72: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0011515617370605469 - Config 73: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.005391359329223633 - Config 74: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.median_filter
example4.jpg - Time needed: 60.27300572395325 - Config 75: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.009430885314941406 - Config 76: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.2997448444366455 - Config 77: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 347.43331241607666 - Config 78: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.08235883712768555 - Config 79: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.004551887512207031 - Config 80: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0009725093841552734 - Config 81: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.0028901100158691406 - Config 82: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.median_filter
example4.jpg - Time needed: 60.21025490760803 - Config 83: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.009087800979614258 - Config 84: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.30875349044799805 - Config 85: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 354.7938892841339 - Config 86: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.08387374877929688 - Config 87: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.014223814010620117 - Config 88: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.004239320755004883 - Config 89: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.006755352020263672 - Config 90: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.median_filter
example4.jpg - Time needed: 114.92209243774414 - Config 91: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.01687788963317871 - Config 92: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.82818603515625 - Config 93: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 670.1482965946198 - Config 94: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.15622854232788086 - Config 95: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.005404949188232422 - Config 96: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0031740665435791016 - Config 97: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.0030074119567871094 - Config 98: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.median_filter
example4.jpg - Time needed: 61.22042536735535 - Config 99: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.013120412826538086 - Config 100: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.3618001937866211 - Config 101: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 363.13160586357117 - Config 102: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.08378195762634277 - Config 103: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.01115274429321289 - Config 104: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.004050016403198242 - Config 105: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.004822254180908203 - Config 106: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.median_filter
example4.jpg - Time needed: 97.86584281921387 - Config 107: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.01525259017944336 - Config 108: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.7898240089416504 - Config 109: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 579.8489315509796 - Config 110: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.13349318504333496 - Config 111: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.007338285446166992 - Config 112: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0015420913696289062 - Config 113: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.0031638145446777344 - Config 114: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.median_filter
example4.jpg - Time needed: 59.863603591918945 - Config 115: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.009946346282958984 - Config 116: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.3204007148742676 - Config 117: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 350.0194787979126 - Config 118: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.08241748809814453 - Config 119: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.005280971527099609 - Config 120: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0010721683502197266 - Config 121: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.003498077392578125 - Config 122: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.median_filter
example4.jpg - Time needed: 59.83017539978027 - Config 123: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.009273290634155273 - Config 124: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.29933619499206543 - Config 125: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 359.94813442230225 - Config 126: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.08514881134033203 - Config 127: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.013887166976928711 - Config 128: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0036563873291015625 - Config 129: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.007146358489990234 - Config 130: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.median_filter
example4.jpg - Time needed: 115.05728936195374 - Config 131: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.0171964168548584 - Config 132: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.7615160942077637 - Config 133: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 672.9480063915253 - Config 134: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.1568918228149414 - Config 135: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.006383419036865234 - Config 136: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0037648677825927734 - Config 137: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.0040247440338134766 - Config 138: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.median_filter
example4.jpg - Time needed: 64.78684759140015 - Config 139: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.01147913932800293 - Config 140: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.36262011528015137 - Config 141: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 390.83116269111633 - Config 142: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.08884859085083008 - Config 143: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.012971639633178711 - Config 144: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0025539398193359375 - Config 145: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.004784584045410156 - Config 146: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.median_filter
example4.jpg - Time needed: 96.67233681678772 - Config 147: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.014442920684814453 - Config 148: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.790776252746582 - Config 149: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 585.776654958725 - Config 150: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.13290119171142578 - Config 151: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.00458526611328125 - Config 152: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0009164810180664062 - Config 153: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.0031235218048095703 - Config 154: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.median_filter
example4.jpg - Time needed: 58.93273997306824 - Config 155: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.010096311569213867 - Config 156: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.30264949798583984 - Config 157: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 349.30445075035095 - Config 158: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.08135604858398438 - Config 159: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.005917787551879883 - Config 160: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0012440681457519531 - Config 161: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.003574371337890625 - Config 162: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.median_filter
example4.jpg - Time needed: 59.13519859313965 - Config 163: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.01038503646850586 - Config 164: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.3022456169128418 - Config 165: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 353.48163890838623 - Config 166: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.0823831558227539 - Config 167: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
