example3.jpg - Time needed: 0.010121583938598633 - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.01809978485107422 - Config 28: Binarization.basic, SkewCorrection.topline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 1.005939245223999 - Config 29: Binarization.basic, SkewCorrection.topline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 697.5695729255676 - Config 30: Binarization.basic, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.16360926628112793 - Config 31: Binarization.basic, SkewCorrection.topline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.00972127914428711 - Config 32: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0020101070404052734 - Config 33: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.004419565200805664 - Config 34: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.median_filter
example3.jpg - Time needed: 59.194632053375244 - Config 35: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.008947372436523438 - Config 36: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.31301307678222656 - Config 37: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 345.04967045783997 - Config 38: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08547019958496094 - Config 39: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.0068094730377197266 - Config 40: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0015316009521484375 - Config 41: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.0033178329467773438 - Config 42: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.median_filter
example3.jpg - Time needed: 59.138816118240356 - Config 43: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.010501384735107422 - Config 44: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.3111846446990967 - Config 45: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 359.47983407974243 - Config 46: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08625268936157227 - Config 47: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.01176142692565918 - Config 48: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.003123760223388672 - Config 49: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.006319284439086914 - Config 50: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.median_filter
example3.jpg - Time needed: 85.95349073410034 - Config 51: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.01634812355041504 - Config 52: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.6025643348693848 - Config 53: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 493.4441511631012 - Config 54: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.1228642463684082 - Config 55: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.005720615386962891 - Config 56: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.002847909927368164 - Config 57: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.0034263134002685547 - Config 58: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.median_filter
example3.jpg - Time needed: 65.10705161094666 - Config 59: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.012342453002929688 - Config 60: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.5014965534210205 - Config 61: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 378.959618806839 - Config 62: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.09196853637695312 - Config 63: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.013335943222045898 - Config 64: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0035047531127929688 - Config 65: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.010841608047485352 - Config 66: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.median_filter
example3.jpg - Time needed: 116.22527170181274 - Config 67: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.019466638565063477 - Config 68: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.9971482753753662 - Config 69: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 725.1104273796082 - Config 70: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.16455316543579102 - Config 71: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.010106563568115234 - Config 72: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.00159454345703125 - Config 73: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.0047223567962646484 - Config 74: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.9087917804718 - Config 75: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.009373664855957031 - Config 76: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.31455469131469727 - Config 77: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 365.13415265083313 - Config 78: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.0850226879119873 - Config 79: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.004654884338378906 - Config 80: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0010313987731933594 - Config 81: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.002753019332885742 - Config 82: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.76966571807861 - Config 83: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.009273290634155273 - Config 84: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.3034522533416748 - Config 85: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 347.4227862358093 - Config 86: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08563446998596191 - Config 87: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.008460760116577148 - Config 88: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0017633438110351562 - Config 89: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.006587505340576172 - Config 90: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.median_filter
example3.jpg - Time needed: 63.64689302444458 - Config 91: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.010605335235595703 - Config 92: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.4871528148651123 - Config 93: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 383.00387811660767 - Config 94: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08978533744812012 - Config 95: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.004834413528442383 - Config 96: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0014181137084960938 - Config 97: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.002773761749267578 - Config 98: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.median_filter
example3.jpg - Time needed: 60.02297639846802 - Config 99: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.01003122329711914 - Config 100: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.46661972999572754 - Config 101: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 366.35940885543823 - Config 102: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.0868983268737793 - Config 103: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.01803421974182129 - Config 104: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.004088878631591797 - Config 105: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.00736689567565918 - Config 106: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.median_filter
example3.jpg - Time needed: 111.15644931793213 - Config 107: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.019815444946289062 - Config 108: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.8041203022003174 - Config 109: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 660.0080206394196 - Config 110: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.1559925079345703 - Config 111: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.006163120269775391 - Config 112: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0017480850219726562 - Config 113: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.003447294235229492 - Config 114: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.median_filter
example3.jpg - Time needed: 67.87006855010986 - Config 115: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.010638713836669922 - Config 116: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.44428324699401855 - Config 117: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 392.2871050834656 - Config 118: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.0964975357055664 - Config 119: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.00644230842590332 - Config 120: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.001077890396118164 - Config 121: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.0027418136596679688 - Config 122: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.50648856163025 - Config 123: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.011265754699707031 - Config 124: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.3131523132324219 - Config 125: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 338.5093603134155 - Config 126: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08556485176086426 - Config 127: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.005736351013183594 - Config 128: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0027441978454589844 - Config 129: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.002427339553833008 - Config 130: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.median_filter
example3.jpg - Time needed: 65.12742042541504 - Config 131: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.011152982711791992 - Config 132: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.5048191547393799 - Config 133: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 390.55375576019287 - Config 134: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.09277033805847168 - Config 135: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.005546092987060547 - Config 136: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.00267791748046875 - Config 137: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.003128528594970703 - Config 138: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.median_filter
example3.jpg - Time needed: 62.802083253860474 - Config 139: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.010738134384155273 - Config 140: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.3891727924346924 - Config 141: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 365.73543977737427 - Config 142: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.09337234497070312 - Config 143: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.013247251510620117 - Config 144: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0037364959716796875 - Config 145: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.007318258285522461 - Config 146: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.median_filter
example3.jpg - Time needed: 110.63613200187683 - Config 147: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.016579866409301758 - Config 148: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.7916421890258789 - Config 149: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 678.8060355186462 - Config 150: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.15560460090637207 - Config 151: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.0047681331634521484 - Config 152: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0014078617095947266 - Config 153: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.0026547908782958984 - Config 154: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.44459247589111 - Config 155: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.011175870895385742 - Config 156: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.30872035026550293 - Config 157: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 343.69405031204224 - Config 158: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08405828475952148 - Config 159: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.006059169769287109 - Config 160: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.002002239227294922 - Config 161: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.002700328826904297 - Config 162: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.553593158721924 - Config 163: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.01024007797241211 - Config 164: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.3104066848754883 - Config 165: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 340.2856488227844 - Config 166: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08497977256774902 - Config 167: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.004560232162475586 - Config 168: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.002825021743774414 - Config 169: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.002753019332885742 - Config 170: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.26763129234314 - Config 171: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.008518457412719727 - Config 172: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.3020493984222412 - Config 173: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 359.6907694339752 - Config 174: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08268284797668457 - Config 175: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.009812116622924805 - Config 176: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0020706653594970703 - Config 177: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.0046253204345703125 - Config 178: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.262885093688965 - Config 179: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.009909629821777344 - Config 180: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.3289217948913574 - Config 181: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 362.2917990684509 - Config 182: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08450078964233398 - Config 183: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.0089263916015625 - Config 184: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0034720897674560547 - Config 185: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.005243778228759766 - Config 186: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.median_filter
example3.jpg - Time needed: 117.57142043113708 - Config 187: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.01639103889465332 - Config 188: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.8223903179168701 - Config 189: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 679.5278429985046 - Config 190: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.16537165641784668 - Config 191: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.010016202926635742 - Config 192: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.002026081085205078 - Config 193: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.004607200622558594 - Config 194: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.566704750061035 - Config 195: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.00901937484741211 - Config 196: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.31148219108581543 - Config 197: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 354.4540147781372 - Config 198: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08729290962219238 - Config 199: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.006554603576660156 - Config 200: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0008151531219482422 - Config 201: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.0025947093963623047 - Config 202: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.23637795448303 - Config 203: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.009040594100952148 - Config 204: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.3080575466156006 - Config 205: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.frequency_filter
